Invluokka,feaMed1,feaMed2,feaMed3,feaMed4,feaMed5,feaMed6,feaMed7,feaMed8,suoMod
104,35.0,122.0,241.0,139.0,133.0,131.0,0.0,29.0,0.0
104,34.0,120.0,239.0,141.0,127.0,128.0,3.0,19.0,0.0
104,43.0,115.0,238.0,140.0,127.5,136.5,0.0,18.0,0.0
262,49.0,149.0,240.0,132.0,158.0,160.0,0.0,29.0,0.0
251,55.5,172.5,242.5,138.5,170.0,162.0,91.5,31.0,0.0
251,57.0,175.0,242.0,140.0,170.0,162.0,92.0,38.0,0.0
252,48.0,170.0,241.0,137.0,169.0,172.0,95.0,42.0,0.0
312,48.0,160.0,242.0,135.5,169.0,158.5,75.0,40.0,0.0
313,50.0,173.0,242.0,138.0,172.0,162.0,84.0,41.0,0.0
242,33.0,156.5,244.0,134.5,159.0,156.5,51.0,39.5,0.0
241,39.0,158.0,245.0,136.0,169.0,154.0,57.0,25.0,0.0
242,44.0,153.0,244.0,131.0,164.0,158.0,7.5,21.0,0.0
242,44.0,167.0,244.0,137.0,167.0,162.0,102.0,23.0,0.0
242,44.0,165.0,243.0,136.0,166.0,165.0,107.0,19.0,0.0
242,45.0,171.0,243.0,139.0,174.0,165.0,119.0,27.0,0.0
242,43.0,172.0,244.0,141.0,177.0,168.5,130.0,32.0,0.0
242,48.0,177.0,244.0,143.0,177.0,171.0,153.0,28.0,0.0
252,56.0,185.0,241.0,142.0,173.0,176.0,75.0,45.0,0.0
242,51.0,173.0,242.0,136.0,172.0,173.0,73.0,44.0,0.0
251,55.0,183.0,241.0,145.0,175.0,170.5,44.5,53.0,0.0
252,50.0,185.0,241.0,144.0,168.5,166.5,67.5,48.0,0.0
262,53.0,187.0,242.0,145.0,174.5,169.0,72.5,28.0,0.0
313,57.5,193.5,243.0,146.0,178.0,175.5,62.0,56.0,0.0
252,51.0,185.0,243.0,141.0,177.0,170.0,65.0,51.0,0.0
311,50.0,187.0,241.5,146.5,178.0,172.0,80.5,55.0,0.0
252,54.5,190.5,243.0,146.0,178.0,175.0,75.5,49.0,0.0
313,43.0,178.0,242.0,143.0,168.0,168.0,75.0,40.0,0.0
313,44.0,181.0,242.0,144.0,172.0,170.0,74.0,41.0,0.0
311,55.0,185.0,242.0,142.0,171.0,172.0,69.0,43.0,0.0
242,41.0,170.5,244.0,137.5,171.0,166.5,73.0,25.0,0.0
242,42.0,176.0,244.0,142.0,178.0,174.0,88.0,33.0,0.0
242,40.0,175.0,244.0,141.0,178.0,173.0,88.0,35.0,0.0
242,38.0,164.0,242.0,136.0,167.0,174.0,90.0,12.0,0.0
242,47.0,176.0,244.0,142.0,176.0,171.5,108.0,22.5,0.0
252,56.0,189.0,242.0,146.0,173.0,177.0,75.0,46.0,0.0
252,43.0,178.0,242.0,143.0,164.0,173.0,60.0,50.0,0.0
263,53.0,191.0,242.0,148.0,175.0,181.0,79.0,54.0,0.0
263,53.0,189.0,243.0,146.0,177.0,179.0,80.0,54.0,0.0
251,48.0,181.0,243.0,142.0,171.0,177.0,69.0,27.0,0.0
242,48.0,181.0,243.0,143.0,177.0,178.0,120.0,22.0,0.0
251,47.0,180.0,243.0,142.0,177.0,179.0,118.0,23.0,0.0
251,46.0,176.0,242.0,137.0,176.0,176.0,66.0,19.0,0.0
242,44.0,157.0,243.0,130.0,165.0,162.0,2.0,10.0,0.0
242,42.0,150.0,243.0,128.0,161.0,160.0,0.0,9.0,0.0
241,44.0,142.0,243.0,125.0,155.0,146.0,0.0,8.0,0.0
242,50.0,160.0,242.0,131.5,167.0,165.0,11.5,22.5,0.0
242,46.0,150.0,243.0,129.0,161.0,153.0,3.0,17.0,0.0
241,46.0,149.0,243.0,130.0,162.0,151.0,0.0,15.0,0.0
242,47.0,149.0,243.0,127.0,165.0,157.0,46.0,19.0,0.0
333,39.0,147.5,242.0,130.5,155.5,164.0,0.0,22.0,1.0
251,45.0,173.0,244.0,136.0,175.0,158.0,118.0,35.0,0.0
252,63.0,196.0,243.0,148.0,172.0,172.0,93.0,40.0,0.0
252,45.0,181.0,243.0,142.0,177.0,172.0,70.0,41.0,0.0
252,51.0,192.0,242.0,145.0,178.0,181.0,61.0,41.0,0.0
252,49.0,186.0,243.0,146.0,177.0,174.0,56.0,38.0,0.0
313,49.0,184.0,243.0,143.0,176.0,168.0,73.0,44.0,0.0
311,54.0,184.0,244.0,146.0,177.0,173.0,91.0,27.0,0.0
252,50.0,177.0,243.0,143.0,176.0,171.0,80.0,31.0,0.0
311,48.0,182.0,242.0,148.0,172.0,165.0,78.0,35.0,0.0
252,48.0,186.0,244.0,147.0,177.0,161.0,79.0,41.0,0.0
263,36.0,169.0,243.0,142.0,172.0,159.0,97.0,40.0,0.0
102,45.0,159.5,242.5,136.0,165.5,165.0,69.5,21.0,0.0
242,46.0,177.0,243.0,140.0,177.0,167.0,113.0,26.0,0.0
242,35.0,169.0,242.0,139.0,169.0,191.0,94.0,7.0,0.0
242,40.0,164.0,242.0,137.0,167.5,175.5,84.0,14.0,0.0
312,46.5,180.0,243.0,143.0,172.0,173.0,119.5,38.0,0.0
313,45.0,182.0,242.0,144.0,174.0,188.0,106.0,46.0,0.0
251,45.0,178.5,242.5,142.5,173.0,172.0,92.5,41.0,0.0
252,49.0,185.0,242.0,145.0,175.0,176.0,113.0,43.0,0.0
251,45.0,183.0,242.0,144.0,174.0,186.0,105.0,44.0,0.0
262,52.0,189.0,243.0,146.0,176.0,179.0,118.0,46.0,0.0
251,49.0,189.0,242.0,146.0,175.0,186.0,114.0,48.0,0.0
313,46.0,181.0,242.0,143.0,175.0,176.0,92.0,49.0,0.0
241,56.0,160.0,241.0,126.0,158.0,167.0,0.0,22.0,0.0
241,52.0,157.0,241.0,125.0,159.0,163.0,0.0,16.0,0.0
241,52.0,149.0,242.0,129.0,155.0,157.0,9.0,8.0,0.0
242,52.0,149.0,243.0,128.0,158.0,154.0,0.0,8.0,0.0
242,55.5,169.5,241.0,132.0,164.0,166.0,14.0,11.0,0.0
241,44.0,134.0,243.0,128.0,147.0,137.0,0.0,6.0,0.0
313,46.0,158.0,244.0,135.0,170.5,158.0,22.5,39.0,0.0
241,48.0,158.5,244.0,139.0,168.5,153.5,18.5,34.5,0.0
262,46.0,170.0,244.0,139.0,166.0,163.0,95.0,32.0,0.0
251,55.0,184.0,243.0,145.0,176.5,180.5,124.0,36.0,0.0
251,50.0,186.0,242.0,143.0,175.5,182.0,122.0,34.0,0.0
252,49.0,180.0,243.0,148.0,174.0,179.5,128.5,39.0,0.0
263,49.0,187.0,243.0,146.0,175.0,177.0,141.0,43.0,0.0
262,46.0,170.0,244.0,138.0,170.0,161.0,32.0,37.0,0.0
263,51.0,173.0,244.0,140.0,171.0,178.0,99.0,37.0,0.0
251,49.0,183.0,244.0,143.0,176.0,186.0,174.0,37.0,0.0
251,49.0,182.0,243.0,142.0,175.0,174.5,132.5,39.0,0.0
251,45.0,179.0,242.0,141.0,172.0,186.0,108.0,42.0,0.0
263,43.5,181.5,242.0,142.5,173.0,179.5,37.0,50.0,0.0
252,50.0,185.0,242.0,144.0,174.0,186.0,114.0,47.0,0.0
333,44.0,159.0,238.0,132.0,161.0,186.0,0.0,17.0,1.0
241,43.0,144.0,242.0,130.0,158.0,151.0,35.0,16.0,0.0
241,40.0,151.0,243.0,133.0,165.0,160.0,58.0,19.0,0.0
242,47.0,146.0,243.0,127.0,157.0,150.5,0.0,15.5,0.0
242,46.0,150.0,243.0,129.0,159.0,149.0,0.0,18.0,0.0
241,45.0,132.0,242.0,129.0,150.0,145.0,1.0,11.0,0.0
242,47.0,158.0,243.0,128.0,167.0,161.0,0.0,22.0,0.0
242,46.0,153.0,243.0,127.0,163.0,157.0,0.0,18.0,0.0
241,43.0,154.5,242.0,133.0,164.0,162.5,58.5,20.0,0.0
251,37.0,172.0,241.0,143.0,170.0,180.0,101.0,30.0,0.0
263,48.0,178.0,242.0,142.0,175.0,179.0,108.0,42.0,0.0
333,31.0,140.0,244.0,133.0,151.0,141.0,0.0,24.0,1.0
333,28.0,142.0,242.0,133.0,145.0,154.0,0.0,20.0,1.0
241,42.0,150.0,245.0,133.0,161.0,155.0,57.0,21.0,0.0
333,37.0,154.0,241.0,132.5,154.0,172.0,0.0,33.5,1.0
333,38.0,148.0,244.0,134.5,162.0,155.0,2.5,28.0,1.0
333,38.0,147.0,241.5,131.5,155.0,159.0,2.0,23.0,1.0
